serie1,serie2,best_pearson,best_spearman,best_kendall,lag_pearson,lag_spearman,lag_kendall
SI=F.PctChange,^TNX.PctChange,-0.1024631677213315,-0.14755004234166322,0.10210410745495288,0,0,0
SI=F.PctChange,^TYX.PctChange,-0.08582957793629285,-0.11178739250177416,0.07682153781907121,0,0,0
SI=F.PctChange,AAPL.PctChange,0.11999425193943926,0.07925091280019576,0.05325365546215625,0,0,0
SI=F.PctChange,MSFT.PctChange,0.10025452591399313,0.061579252074973806,0.04093087874456449,0,0,0
SI=F.PctChange,GOOGL.PctChange,0.09774930107518369,0.06679300106167585,0.044930854772750696,0,0,0
SI=F.PctChange,META.PctChange,0.07956298373937738,0.06443857428099575,0.04350914595523247,0,0,0
SI=F.PctChange,NVDA.PctChange,0.11902364533279795,0.09082703177663372,0.06142491830617591,0,0,0
SI=F.PctChange,AVGO.PctChange,0.1221343814919363,0.07817967991392702,0.05281062777302618,0,0,0
SI=F.PctChange,ORCL.PctChange,0.07023456382832753,0.05629680308250576,0.03797047529691626,0,-78,-78
SI=F.PctChange,CRM.PctChange,0.10570648309361726,0.06448657853963552,0.04343624508228268,0,0,0
SI=F.PctChange,JPM.PctChange,-0.07301320314693768,0.05689973182342934,0.03833657278301354,-166,-33,-33
SI=F.PctChange,BAC.PctChange,0.07456642933421055,0.06234040328370121,0.042052458515252425,-82,-33,-33
SI=F.PctChange,WFC.PctChange,-0.08125178893026716,-0.06663476197462011,0.04428999579196629,-166,-166,-166
SI=F.PctChange,GS.PctChange,0.07364037078618427,0.05331413171368335,0.03597107215861002,0,-179,-179
SI=F.PctChange,MS.PctChange,-0.07570760668302147,0.058111111010879325,0.03888094270746654,-86,-160,-160
SI=F.PctChange,V.PctChange,0.07827475176314884,0.06462354714903443,0.04321982327035928,0,-28,-28
SI=F.PctChange,MA.PctChange,0.08960691936584164,0.06440182861670281,0.043551194641908784,0,-162,-162
SI=F.PctChange,AXP.PctChange,-0.07749447297882987,0.0650092917072443,0.04441859452525573,-86,0,0
SI=F.PctChange,UNH.PctChange,-0.0681680333259009,-0.06304983886041741,0.04268231466576713,17,-76,-76
SI=F.PctChange,JNJ.PctChange,0.06223671060184372,0.05495055035310051,0.036392023230698914,-19,69,69
SI=F.PctChange,PFE.PctChange,-0.0675259876628669,-0.058987290904152515,0.0400456174523604,-86,-75,-75
SI=F.PctChange,MRK.PctChange,0.06289488889572066,-0.06401681348718632,0.042780832252431476,-170,142,142
SI=F.PctChange,ABBV.PctChange,-0.056010340050703836,-0.0585755083697336,0.03954873372385207,-86,-31,-31
SI=F.PctChange,TMO.PctChange,0.10077917844670696,0.07386847645324301,0.04971440154806393,0,0,0
SI=F.PctChange,XOM.PctChange,0.14829307871131298,0.12076299040240357,0.08239810547783716,0,0,0
SI=F.PctChange,CVX.PctChange,0.1850083271264918,0.13772831239601502,0.09387876416423649,0,0,0
SI=F.PctChange,COP.PctChange,0.1479478541145156,0.11196116935851834,0.07595340776179485,0,0,0
SI=F.PctChange,SLB.PctChange,0.14922437713417355,0.12728139999169702,0.08657285574400751,0,0,0
SI=F.PctChange,AMZN.PctChange,0.08327863789814217,0.05380297577376135,0.03627643305100071,0,117,117
SI=F.PctChange,TSLA.PctChange,0.11881106048598762,0.07769951445467448,0.05224118377253058,0,0,0
SI=F.PctChange,WMT.PctChange,0.0711943970346425,0.05841086889182645,0.03924048693126091,-85,-157,-157
SI=F.PctChange,HD.PctChange,0.11292176968322104,0.0720290568268895,0.04810638811258262,0,143,143
SI=F.PctChange,PG.PctChange,-0.08487695128728369,-0.05855296371551885,0.0388716246573799,-86,65,65
SI=F.PctChange,KO.PctChange,0.09442783441034044,-0.0781970455845524,0.05249668285507133,0,-86,-86
